coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-121.2041 39.5538),63.800002,63.8,2.0000000020559128e-06,"{138.0, 18.0, 13.8}",blue,FORBESTOWN 1,3,hydro,Butte,California
POINT (-121.1482 40.0855),39.750002,39.75,2.0000000020559128e-06,{138.0},blue,MEADOW VALLEY 2,2,hydro,Plumas,California
POINT (-122.4223 40.7175),352.610004,352.61,3.999999989900971e-06,"{138.0, 13.8, 24.0, 345.0, 765.0}",blue,REDDING 8,9,hydro,Shasta,California
POINT (-121.1584 38.7067),175.57000499999998,175.57,4.9999999873762135e-06,"{345.0, 138.0, 13.8, 1.0}",blue,FOLSOM 3,4,hydro,Sacramento,California
POINT (-121.7371 38.6905),0.0,0.0,0.0,"{345.0, 138.0, 22.0, 1.0}",yellow,WOODLAND 5,5,solar,Yolo,California
POINT (-120.3783 38.8965),30.440002,30.439999999999998,2.0000000020559128e-06,"{1.0, 138.0, 13.8}",blue,POLLOCK PINES 5,5,hydro,El Dorado,California
POINT (-120.767 39.2574),12.780002,12.780000000000001,1.999999998503199e-06,"{345.0, 138.0, 20.0, 1.0}",blue,ALTA 1,5,hydro,Placer,California
POINT (-122.3581 41.9757),52.90000499999999,52.9,4.999999994481641e-06,"{345.0, 138.0}",blue,HORNBROOK,3,hydro,Siskiyou,California
POINT (-120.5964 39.0248),105.500002,105.5,1.9999999949504854e-06,"{345.0, 138.0, 18.0, 1.0}",blue,FORESTHILL 2,5,hydro,Placer,California
POINT (-121.6959 39.0531),424.000002,424.0,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 345.0, 765.0}",orange,YUBA CITY 6,9,ng,Sutter,California
POINT (-124.1949 40.8054),58.640004999999995,58.64,4.999999994481641e-06,{138.0},yellow,SAMOA,2,solar,Humboldt,California
POINT (-120.8352 39.2184),12.950001,12.95,1.0000000010279564e-06,"{138.0, 13.8}",blue,DUTCH FLAT,2,hydro,Nevada,California
POINT (-121.4922 39.543),298.850004,298.85,3.999999989900971e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",blue,OROVILLE 5,10,hydro,Butte,California
POINT (-122.7117 38.7492),106.050003,106.04999999999998,3.0000000208474376e-06,"{138.0, 18.0, 13.8}",yellow,MIDDLETOWN 2,4,solar,Sonoma,California
POINT (-122.7219 38.7881),0.0,0.0,0.0,{138.0},yellow,MIDDLETOWN 3,2,solar,Lake,California
POINT (-121.6397 39.1365),49.5,49.5,0.0,"{345.0, 138.0}",orange,YUBA CITY 7,2,ng,Sutter,California
POINT (-120.7251 39.001),53.930001,53.93,9.999999974752427e-07,{138.0},blue,FORESTHILL 3,1,hydro,Placer,California
POINT (-121.6093 39.1093),47.0,47.0,0.0,"{138.0, 18.0}",orange,YUBA CITY 8,4,ng,Sutter,California
POINT (-121.6387 39.1392),47.3,47.3,0.0,"{138.0, 13.8}",orange,YUBA CITY 9,3,ng,Sutter,California
POINT (-122.4464 40.6119),59.390002,59.39,2.0000000020559128e-06,{138.0},blue,REDDING 9,1,hydro,Shasta,California
POINT (-122.7434 38.7879),116.51000200000001,116.51,2.00000000916134e-06,{138.0},yellow,MIDDLETOWN 4,2,solar,Lake,California
POINT (-121.124 38.3385),530.01,530.01,0.0,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",orange,HERALD,6,ng,Sacramento,California
POINT (-121.6398 39.1367),49.000001,49.0,9.999999974752427e-07,{138.0},orange,YUBA CITY 10,1,ng,Sutter,California
POINT (-121.1907 40.1757),40.000001,40.0,9.999999974752427e-07,{138.0},blue,MEADOW VALLEY 3,1,hydro,Plumas,California
POINT (-122.7559 38.7903),78.000001,78.0,9.999999974752427e-07,"{138.0, 13.8}",yellow,MIDDLETOWN 5,2,solar,Sonoma,California
POINT (-121.7203 40.8797),53.990003,53.99,2.9999999995311555e-06,{138.0},yellow,BURNEY 3,1,solar,Shasta,California
POINT (-122.4675 40.6281),53.690001,53.69,1.00000000458067e-06,"{345.0, 138.0, 13.8}",blue,REDDING 10,4,hydro,Shasta,California
POINT (-122.627 40.6469),130.420002,130.42000000000002,1.9999999949504854e-06,"{24.0, 345.0, 138.0, 13.8}",blue,REDDING 11,4,hydro,Shasta,California
POINT (-122.745 38.777),733.7100069999999,733.7099999999999,6.999999982326699e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",yellow,MIDDLETOWN 6,10,solar,Sonoma,California
POINT (-121.9929 40.9226),76.290002,76.28999999999999,2.00000000916134e-06,{138.0},blue,MONTGOMERY CREEK 3,2,hydro,Shasta,California
POINT (-120.9092 39.9412),38.440003999999995,38.440000000000005,3.999999989900971e-06,{138.0},yellow,QUINCY 3,1,solar,Plumas,California
POINT (-122.4233 40.5073),122.059999,122.06,9.999999974752427e-07,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,REDDING 12,7,ng,Shasta,California
POINT (-120.8909 39.1779),47.390001999999996,47.39,1.9999999949504854e-06,"{1.0, 138.0, 13.8}",blue,COLFAX 3,4,hydro,Nevada,California
POINT (-121.4001 38.5309),99.6,99.6,0.0,"{1.0, 138.0, 13.8, 345.0, 765.0}",orange,SACRAMENTO 36,6,ng,Sacramento,California
POINT (-121.3097 38.9032),51.910004,51.91,4.0000000041118255e-06,"{138.0, 18.0, 13.8}",yellow,LINCOLN 3,5,solar,Placer,California
POINT (-121.6301 39.5149),47.910002000000006,47.91,2.00000000916134e-06,{138.0},blue,OROVILLE 6,1,hydro,Butte,California
POINT (-121.2788 39.551),0.0,0.0,0.0,"{138.0, 13.8}",blue,FORBESTOWN 2,3,hydro,Butte,California
POINT (-121.4735 38.511),173.9,173.9,0.0,{138.0},orange,SACRAMENTO 37,2,ng,Sacramento,California
POINT (-121.4982 40.9908),64.880004,64.88000000000001,3.999999989900971e-06,"{345.0, 138.0}",blue,BURNEY 4,3,hydro,Shasta,California
POINT (-122.2014 40.1519),23.19,23.19,0.0,{138.0},orange,RED BLUFF 3,2,ng,Tehama,California
POINT (-124.2103 40.7415),139.14999999999998,139.14999999999998,0.0,"{345.0, 138.0, 765.0}",orange,EUREKA 3,4,ng,Humboldt,California
POINT (-120.7674 39.2569),22.640002000000003,22.64,2.0000000020559128e-06,{138.0},blue,ALTA 2,1,hydro,Placer,California
POINT (-121.9776 40.9862),101.84000400000001,101.84,4.0000000041118255e-06,"{138.0, 13.8}",blue,BIG BEND 2,4,hydro,Shasta,California
POINT (-120.5318 38.834),121.94000199999999,121.94,1.9999999949504854e-06,"{138.0, 13.8, 22.0}",blue,POLLOCK PINES 6,3,hydro,El Dorado,California
POINT (-121.1917 39.3308),124.180001,124.18,9.999999974752427e-07,"{345.0, 138.0, 18.0, 13.8}",blue,DOBBINS,4,hydro,Yuba,California
POINT (-121.765 38.0169),827.999991,828.0,8.999999977277184e-06,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",orange,ANTIOCH 5,7,ng,Contra Costa,California
POINT (-121.769 38.1164),168.610004,168.61,3.999999989900971e-06,"{138.0, 13.8, 18.0, 20.0, 345.0}",green,BIRDS LANDING 1,7,wind,Solano,California
POINT (-121.8439 38.0169),707.639997,707.64,2.999999992425728e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,PITTSBURG 4,8,ng,Contra Costa,California
POINT (-121.6516 37.7341),338.790007,338.78999999999996,7.000000039170118e-06,"{345.0, 138.0, 18.0, 13.8}",green,LIVERMORE 5,6,wind,Alameda,California
POINT (-121.7587 38.0175),619.710002,619.71,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",orange,ANTIOCH 6,6,ng,Contra Costa,California
POINT (-121.9508 37.3767),167.489999,167.49,9.999999974752427e-07,"{345.0, 138.0}",orange,SANTA CLARA 6,3,ng,Santa Clara,California
POINT (-121.7963 37.2444),55.299999,55.3,9.999999974752427e-07,"{138.0, 13.8}",gray,SAN JOSE 45,2,coal,Santa Clara,California
POINT (-122.1763 37.4298),52.800000999999995,52.8,9.999999974752427e-07,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,STANFORD 2,7,ng,Santa Clara,California
POINT (-121.5367 37.0001),64.999999,65.0,9.999999974752427e-07,{138.0},orange,GILROY 3,2,ng,Santa Clara,California
POINT (-121.8945 38.0392),666.482475,935.94,269.45752500000003,"{1.0, 138.0, 13.8, 345.0, 765.0}",orange,PITTSBURG 5,8,ng,Contra Costa,California
POINT (-121.873 38.0301),678.300003,678.3,2.999999992425728e-06,"{345.0, 138.0, 13.8, 22.0}",orange,PITTSBURG 6,5,ng,Contra Costa,California
POINT (-122.2344 38.0181),0.0,0.0,0.0,{138.0},yellow,RODEO 1,1,solar,Contra Costa,California
POINT (-121.8433 38.2268),141.0,141.0,0.0,"{345.0, 138.0}",orange,SUISUN CITY 3,5,ng,Solano,California
POINT (-121.6019 37.7892),149.7,149.7,0.0,"{345.0, 138.0, 13.8}",orange,BYRON,4,ng,Alameda,California
POINT (-122.2819 37.7968),149.000001,149.0,9.999999974752427e-07,"{1.0, 138.0, 13.8, 18.0, 345.0}",gray,OAKLAND 19,9,coal,Alameda,California
POINT (-121.924 38.3989),60.5,60.5,0.0,{138.0},orange,VACAVILLE 5,2,ng,Solano,California
POINT (-121.7907 38.0144),47.0,47.0,0.0,{138.0},orange,ANTIOCH 7,1,ng,Contra Costa,California
POINT (-121.8053 38.1381),185.440003,185.44,2.999999992425728e-06,"{345.0, 138.0}",green,BIRDS LANDING 2,3,wind,Solano,California
POINT (-121.8461 38.1711),110.830001,110.83,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,BIRDS LANDING 3,5,wind,Solano,California
POINT (-121.7457 37.2207),635.0100010000001,635.01,1.0000001111620804e-06,"{1.0, 138.0, 13.8, 18.0, 345.0, 765.0}",orange,COYOTE,8,ng,Santa Clara,California
POINT (-121.8469 38.1694),0.0,0.0,0.0,"{138.0, 13.8}",green,BIRDS LANDING 4,2,wind,Solano,California
POINT (-122.1411 38.0736),98.0,98.0,0.0,{138.0},orange,BENICIA 3,4,ng,Solano,California
POINT (-122.0589 38.0244),113.49,113.49,0.0,"{345.0, 138.0}",orange,MARTINEZ 3,2,ng,Contra Costa,California
POINT (-121.4906 37.7107),336.09000100000003,336.09000000000003,9.999999974752427e-07,"{345.0, 138.0, 13.8}",orange,TRACY 4,5,ng,San Joaquin,California
POINT (-122.2889 37.7886),54.8,54.8,0.0,"{1.0, 138.0, 18.0, 13.8}",orange,ALAMEDA 4,11,ng,Alameda,California
POINT (-121.8219 38.1167),52.680001,52.68,9.999999974752427e-07,{138.0},green,BIRDS LANDING 5,1,wind,Solano,California
POINT (-122.1117 38.0169),99.99,99.99,0.0,"{138.0, 18.0, 13.8}",orange,MARTINEZ 4,3,ng,Contra Costa,California
POINT (-121.9436 37.3617),35.720000999999996,35.72,9.999999974752427e-07,{138.0},gray,SANTA CLARA 7,2,coal,Santa Clara,California
POINT (-122.2161 38.0569),247.400001,247.4,9.999999974752427e-07,"{1.0, 138.0, 13.8, 24.0, 345.0}",orange,CROCKETT,5,ng,Contra Costa,California
POINT (-122.1338 37.6347),654.990004,654.99,3.999999989900971e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,HAYWARD 8,6,ng,Alameda,California
POINT (-121.9319 37.425),183.66,183.66,0.0,"{24.0, 345.0, 138.0, 13.8}",orange,SAN JOSE 46,9,ng,Santa Clara,California
POINT (-121.7181 37.7908),106.890002,106.89,1.9999999949504854e-06,"{345.0, 138.0}",green,LIVERMORE 6,2,wind,Contra Costa,California
POINT (-121.5363 36.999),135.0,135.0,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,GILROY 4,9,ng,Santa Clara,California
POINT (-122.3909 37.9418),155.6,155.6,0.0,"{345.0, 138.0}",orange,EL SOBRANTE 2,2,ng,Contra Costa,California
POINT (-122.2583 38.0417),18.3,18.3,0.0,"{24.0, 138.0, 13.8}",orange,RODEO 2,3,ng,Contra Costa,California
POINT (-121.9687 37.401),64.6,64.6,0.0,{138.0},orange,SANTA CLARA 8,1,ng,Santa Clara,California
POINT (-121.8553 38.1375),70.010001,70.01,9.999999974752427e-07,"{138.0, 18.0}",green,BIRDS LANDING 6,2,wind,Solano,California
POINT (-119.9044 36.2397),97.999999,98.0,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",orange,LEMOORE 3,5,ng,Kings,California
POINT (-121.3869 38.0881),77.4,77.4,0.0,{138.0},orange,LODI 4,2,ng,San Joaquin,California
POINT (-120.0341 38.2467),77.64000300000001,77.64,3.000000006636583e-06,"{345.0, 138.0, 13.8, 1.0}",blue,PINECREST,5,hydro,Tuolumne,California
POINT (-120.6699 38.331),14.910002,14.91,2.000000000279556e-06,"{345.0, 138.0}",blue,JACKSON 2,4,hydro,Amador,California
POINT (-120.2993 37.8094),42.090001,42.09,9.999999974752427e-07,{138.0},blue,MERCED 6,1,hydro,Tuolumne,California
POINT (-119.8339 36.2478),50.25000299999999,50.25,2.999999992425728e-06,{138.0},yellow,LEMOORE 4,2,solar,Kings,California
POINT (-120.5833 36.6514),431.999998,432.0,1.9999999949504854e-06,"{138.0, 13.8, 20.0, 22.0, 345.0, 765.0}",orange,SAN JOAQUIN 1,7,ng,Fresno,California
POINT (-119.558 37.0718),147.88000499999998,147.88,4.9999999873762135e-06,"{345.0, 138.0, 18.0, 13.8}",blue,AUBERRY 1,7,hydro,Fresno,California
POINT (-117.7917 36.0192),78.42000300000001,78.42,3.000000006636583e-06,{138.0},yellow,INYOKERN 1,2,solar,Inyo,California
POINT (-119.4353 35.8983),101.910004,101.91,4.0000000041118255e-06,"{345.0, 138.0, 18.0, 13.8}",yellow,ALPAUGH,6,solar,Tulare,California
POINT (-119.4898 37.139),70.020002,70.02,2.00000000916134e-06,{138.0},blue,NORTH FORK 1,1,hydro,Madera,California
POINT (-119.1588 36.8882),15.370001,15.37,1.0000000010279564e-06,{138.0},blue,FRESNO 22,2,hydro,Fresno,California
POINT (-120.985 37.5744),223.479999,223.48,9.999999974752427e-07,"{345.0, 138.0}",orange,MODESTO 10,2,ng,Stanislaus,California
POINT (-119.3866 37.1485),93.380003,93.38,3.000000006636583e-06,{138.0},blue,AUBERRY 2,1,hydro,Fresno,California
POINT (-120.1103 35.9831),25.880002,25.88,2.0000000020559128e-06,"{138.0, 18.0}",yellow,AVENAL 2,3,solar,Kings,California
POINT (-120.8408 35.9359),38.2,38.2,0.0,{138.0},orange,SAN ARDO 1,3,ng,Monterey,California
POINT (-121.3238 38.8107),54.8,54.8,0.0,{138.0},orange,LODI 5,1,ng,Placer,California
POINT (-119.0203 36.9274),67.500001,67.5,9.999999974752427e-07,{138.0},blue,FRESNO 23,1,hydro,Fresno,California
POINT (-119.2396 37.2042),85.060005,85.06,5.000000001587068e-06,"{1.0, 138.0, 13.8, 20.0, 24.0}",blue,BIG CREEK 1,9,hydro,Fresno,California
POINT (-121.1278 36.225),133.2,133.2,0.0,"{345.0, 138.0}",orange,KING CITY 2,2,ng,Monterey,California
POINT (-117.7981 36.0372),24.870001,24.87,9.999999974752427e-07,"{345.0, 138.0, 18.0, 13.8}",yellow,INYOKERN 2,5,solar,Inyo,California
POINT (-118.5692 37.51),27.450001,27.45,1.0000000010279564e-06,"{24.0, 138.0}",blue,BISHOP 2,2,hydro,Mono,California
POINT (-119.9675 37.8966),60.590001,60.59,9.999999974752427e-07,"{345.0, 138.0}",blue,GROVELAND 1,2,hydro,Tuolumne,California
POINT (-121.116 37.7315),60.5,60.5,0.0,"{345.0, 138.0, 13.8, 1.0}",orange,RIPON 2,5,ng,San Joaquin,California
POINT (-119.5522 36.6842),85.2,85.2,0.0,"{345.0, 138.0}",orange,SANGER 3,2,ng,Fresno,California
POINT (-119.9532 37.8777),98.27000299999999,98.27,2.999999992425728e-06,{138.0},blue,GROVELAND 2,1,hydro,Tuolumne,California
POINT (-120.9314 37.6294),142.399999,142.4,9.999999974752427e-07,{138.0},gray,MODESTO 11,2,coal,Stanislaus,California
POINT (-120.9044 37.4903),73.8,73.8,0.0,"{138.0, 13.8}",orange,TURLOCK 4,3,ng,Stanislaus,California
POINT (-119.3289 37.2096),33.780001,33.78,9.999999974752427e-07,{138.0},blue,BIG CREEK 2,1,hydro,Fresno,California
POINT (-121.0772 37.0692),70.670001,70.67,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",blue,GUSTINE,5,hydro,Merced,California
POINT (-119.5733 36.1383),29.660002,29.659999999999997,2.0000000020559128e-06,"{138.0, 18.0, 13.8}",yellow,CORCORAN 2,4,solar,Kings,California
POINT (-118.557 37.4379),28.550001,28.55,1.0000000010279564e-06,{138.0},blue,BISHOP 3,2,hydro,Inyo,California
POINT (-120.2908 36.6175),32.790002,32.79,2.0000000020559128e-06,"{345.0, 138.0, 13.8, 1.0}",yellow,TRANQUILLITY,5,solar,Fresno,California
POINT (-120.4926 38.4493),0.0,0.0,0.0,{138.0},blue,PIONEER 2,2,hydro,Amador,California
POINT (-119.3068 37.2001),92.86000200000001,92.86,2.00000000916134e-06,{138.0},blue,BIG CREEK 3,2,hydro,Fresno,California
POINT (-121.7822 36.8048),1647.1121259999998,2100.0,452.88787400000024,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",orange,MOSS LANDING,11,ng,Monterey,California
POINT (-117.7886 36.0019),78.370003,78.37,2.999999992425728e-06,{138.0},yellow,INYOKERN 3,1,solar,Inyo,California
POINT (-120.5783 36.6535),49.9,49.9,0.0,{138.0},orange,FIREBAUGH 2,3,ng,Fresno,California
POINT (-121.3304 37.9436),46.590003,46.59,2.9999999995311555e-06,"{345.0, 138.0}",yellow,STOCKTON 15,2,solar,San Joaquin,California
POINT (-118.59 37.546),32.640001,32.64,9.999999974752427e-07,"{345.0, 138.0, 22.0}",blue,BISHOP 4,4,hydro,Mono,California
POINT (-115.3503 35.7931),0.0,0.0,0.0,"{138.0, 13.8}",yellow,JEAN 1,3,solar,Clark,Nevada
POINT (-120.0998 36.617),82.59,82.59,0.0,"{24.0, 138.0, 13.8}",orange,SAN JOAQUIN 2,4,ng,Fresno,California
POINT (-121.2771 37.8062),46.0,46.0,0.0,"{138.0, 13.8}",orange,LATHROP 2,3,ng,San Joaquin,California
POINT (-121.1246 36.2248),47.299999,47.3,9.999999974752427e-07,{138.0},orange,KING CITY 3,1,ng,Monterey,California
POINT (-119.7404 36.6697),121.000001,121.0,9.999999974752427e-07,"{345.0, 138.0}",orange,FRESNO 24,3,ng,Fresno,California
POINT (-119.2567 37.1479),150.670001,150.67,1.0000000258969521e-06,"{345.0, 138.0, 13.8}",blue,SHAVER LAKE 1,3,hydro,Fresno,California
POINT (-118.9683 37.0293),989.110009,989.11,8.999999977277184e-06,"{1.0, 138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",blue,SHAVER LAKE 2,9,hydro,Fresno,California
POINT (-121.116 37.7325),49.5,49.5,0.0,{138.0},orange,RIPON 3,1,ng,San Joaquin,California
POINT (-120.3885 36.1807),38.4,38.4,0.0,{138.0},orange,COALINGA 2,1,ng,Fresno,California
POINT (-120.3703 38.139),81.900001,81.9,9.999999974752427e-07,{138.0},blue,VALLECITO,2,hydro,Tuolumne,California
POINT (-119.6481 36.2701),92.2,92.2,0.0,"{345.0, 138.0, 22.0, 1.0}",orange,HANFORD 3,6,ng,Kings,California
POINT (-121.3875 38.0881),288.900001,288.9,9.999999974752427e-07,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,LODI 6,5,ng,San Joaquin,California
POINT (-119.327 36.8326),84.770002,84.77,2.00000000916134e-06,"{345.0, 138.0}",blue,FRESNO 25,2,hydro,Fresno,California
POINT (-120.0758 36.1381),62.220005,62.22,5.000000001587068e-06,{138.0},yellow,HURON,3,solar,Fresno,California
POINT (-120.3654 36.7559),8.830001,8.83,9.999999992515995e-07,{138.0},yellow,MENDOTA 2,1,solar,Fresno,California
POINT (-120.8956 37.4878),300.6,300.6,0.0,"{345.0, 138.0, 13.8, 765.0}",orange,TURLOCK 5,7,ng,Stanislaus,California
POINT (-120.5806 36.6529),60.5,60.5,0.0,{138.0},orange,FIREBAUGH 3,1,ng,Fresno,California
POINT (-120.5282 37.9469),241.62000499999996,241.61999999999998,4.9999999873762135e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",blue,TRACY 8,8,hydro,Calaveras,California
POINT (-119.3069 37.2),37.130003,37.13,2.9999999995311555e-06,"{1.0, 138.0, 18.0, 13.8}",blue,BIG CREEK 4,11,hydro,Fresno,California
POINT (-120.2686 37.5843),0.0,0.0,0.0,{138.0},blue,SNELLING,1,hydro,Mariposa,California
POINT (-120.8679 35.9515),38.9,38.9,0.0,"{138.0, 13.8}",orange,SAN ARDO 2,3,ng,Monterey,California
POINT (-121.0204 37.6526),157.0,157.0,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,MODESTO 12,9,ng,Stanislaus,California
POINT (-119.0876 36.9089),105.39000300000001,105.39,3.000000006636583e-06,"{1.0, 138.0, 13.8, 20.0, 345.0}",blue,FRESNO 26,7,hydro,Fresno,California
POINT (-120.2181 38.4979),33.810002,33.81,1.9999999949504854e-06,"{1.0, 138.0, 13.8}",blue,PIONEER 3,4,hydro,Amador,California
POINT (-119.338 37.2203),190.000002,190.0,1.9999999949504854e-06,"{345.0, 138.0}",blue,NORTH FORK 2,2,hydro,Madera,California
POINT (-120.2485 37.1073),8.270001,8.27,1.0000000010279564e-06,{138.0},orange,CHOWCHILLA 2,4,ng,Madera,California
POINT (-120.5797 36.6541),139.799999,139.8,9.999999974752427e-07,{138.0},orange,FIREBAUGH 4,1,ng,Fresno,California
POINT (-120.4202 37.696),92.270003,92.27,3.000000006636583e-06,"{345.0, 138.0, 13.8, 1.0}",blue,LA GRANGE,5,hydro,Tuolumne,California
POINT (-115.3561 35.6139),572.110006,688.41,116.29999399999997,"{1.0, 138.0, 13.8, 18.0, 345.0, 765.0}",orange,JEAN 2,11,ng,Clark,Nevada
POINT (-119.1689 34.1292),835.000006,835.0,5.999999984851456e-06,"{1.0, 138.0, 13.2, 13.8, 345.0, 765.0}",orange,OXNARD 9,8,ng,Ventura,California
POINT (-118.4612 34.9349),136.120001,136.12,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,ROSAMOND 2,3,wind,Kern,California
POINT (-118.2924 35.0609),60.000001,60.0,9.999999974752427e-07,{138.0},green,MOJAVE 1,1,wind,Kern,California
POINT (-118.2491 33.8759),27.9,27.9,0.0,"{138.0, 13.8}",orange,CARSON 5,3,ng,Los Angeles,California
POINT (-118.8519 35.3),0.0,0.0,0.0,{138.0},yellow,BAKERSFIELD 21,1,solar,Kern,California
POINT (-119.1667 34.196),68.700001,68.7,9.999999974752427e-07,{138.0},orange,OXNARD 10,3,ng,Ventura,California
POINT (-119.9166 35.3237),129.51000299999998,129.51,2.999999992425728e-06,"{345.0, 138.0, 18.0, 1.0}",yellow,SANTA MARGARITA 1,7,solar,San Luis Obispo,California
POINT (-118.4325 34.8914),103.160001,103.16,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,ROSAMOND 3,3,wind,Kern,California
POINT (-118.2282 33.777),31.900001,31.9,1.0000000010279564e-06,"{1.0, 138.0, 13.8}",yellow,CARSON 6,4,solar,Los Angeles,California
POINT (-118.2141 33.7684),57.4,57.4,0.0,{138.0},orange,LONG BEACH 24,2,ng,Los Angeles,California
POINT (-118.1754 35.248),0.0,0.0,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",green,CANTIL,5,wind,Kern,California
POINT (-118.2953 35.0239),230.800002,230.8,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",green,MOJAVE 2,5,wind,Kern,California
POINT (-117.5557 35.0122),71.970003,71.97,3.000000006636583e-06,"{345.0, 138.0, 13.8, 1.0}",yellow,BORON 1,5,solar,San Bernardino,California
POINT (-118.2448 33.8166),337.499999,337.5,9.999999974752427e-07,"{345.0, 138.0}",orange,CARSON 7,2,ng,Los Angeles,California
POINT (-117.9449 34.0089),500.0,500.0,0.0,"{345.0, 138.0, 765.0}",orange,LA PUENTE 5,4,ng,Los Angeles,California
POINT (-119.9001 34.4314),58.0,58.0,0.0,"{138.0, 20.0}",orange,GOLETA 3,4,ng,Santa Barbara,California
POINT (-118.4244 34.7803),0.0,0.0,0.0,"{345.0, 138.0, 13.8, 765.0}",yellow,LANCASTER 7,4,solar,Los Angeles,California
POINT (-118.148 34.1254),75.0,75.0,0.0,"{138.0, 13.8}",orange,PASADENA 7,2,ng,Los Angeles,California
POINT (-119.0062 35.5763),30.830001,30.83,1.0000000010279564e-06,{138.0},yellow,BAKERSFIELD 22,1,solar,Kern,California
POINT (-119.2469 34.2056),49.8,49.8,0.0,"{138.0, 13.8}",orange,OXNARD 11,3,ng,Ventura,California
POINT (-118.3345 34.9383),0.0,0.0,0.0,"{345.0, 138.0, 18.0}",yellow,ROSAMOND 4,5,solar,Kern,California
POINT (-118.2469 35.2608),74.430002,74.42999999999999,2.00000000916134e-06,{138.0},green,TEHACHAPI 3,1,wind,Kern,California
POINT (-118.2383 34.9003),15.990001,15.99,9.999999992515995e-07,{138.0},yellow,ROSAMOND 5,1,solar,Kern,California
POINT (-118.844 34.9556),778.999999,779.0,9.999999974752427e-07,"{138.0, 13.8, 24.0, 345.0, 765.0}",orange,LEBEC 1,9,ng,Kern,California
POINT (-119.0512 35.7415),0.0,0.0,0.0,"{138.0, 13.8}",gray,BAKERSFIELD 23,3,coal,Kern,California
POINT (-119.7375 35.4791),46.6,46.6,0.0,"{138.0, 18.0}",orange,TUPMAN 1,2,ng,Kern,California
POINT (-118.9617 35.4406),69.340002,69.34,1.9999999949504854e-06,{138.0},orange,BAKERSFIELD 24,1,ng,Kern,California
POINT (-118.3147 34.1772),60.5,60.5,0.0,{138.0},orange,BURBANK 8,1,ng,Los Angeles,California
POINT (-118.3167 35.0697),23.840001,23.84,1.0000000010279564e-06,{138.0},green,MOJAVE 3,1,wind,Kern,California
POINT (-118.9544 35.1028),21.870002,21.87,1.999999998503199e-06,{138.0},yellow,BAKERSFIELD 25,1,solar,Kern,California
POINT (-118.425 33.9106),537.400002,537.4,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",orange,EL SEGUNDO 1,8,ng,Los Angeles,California
POINT (-118.2399 33.7592),35.6,35.6,0.0,{138.0},orange,LONG BEACH 25,3,ng,Los Angeles,California
POINT (-118.1046 33.9296),49.8,49.8,0.0,"{345.0, 138.0, 20.0, 13.8}",orange,NORWALK 4,4,ng,Los Angeles,California
POINT (-118.3528 34.8486),162.490004,162.48999999999998,4.00000001832268e-06,"{345.0, 138.0}",yellow,ROSAMOND 6,3,solar,Kern,California
POINT (-118.4242 33.9098),342.000003,342.0,2.999999992425728e-06,"{138.0, 13.8}",orange,EL SEGUNDO 2,2,ng,Los Angeles,California
POINT (-118.1856 35.0267),46.690002,46.69,2.0000000020559128e-06,"{138.0, 13.8}",yellow,MOJAVE 4,4,solar,Kern,California
POINT (-119.2769 35.7906),48.499999,48.5,9.999999974752427e-07,{138.0},orange,DELANO 3,1,ng,Tulare,California
POINT (-118.4547 34.5902),43.420003,43.42,2.9999999995311555e-06,{138.0},blue,SANTA CLARITA 4,1,hydro,Los Angeles,California
POINT (-118.2572 35.05),166.67000900000002,166.67000000000002,9.000000005698894e-06,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0}",green,MOJAVE 5,12,wind,Kern,California
POINT (-118.3372 35.1011),22.660003,22.66,2.9999999995311555e-06,{138.0},green,TEHACHAPI 4,2,wind,Kern,California
POINT (-119.0401 35.5165),49.8,49.8,0.0,"{138.0, 18.0, 13.8}",orange,BAKERSFIELD 26,3,ng,Kern,California
