coordinates,bus_name,kilovolt levels,number of buses,vm,county,state
POINT (-122.2803 45.2504),ESTACADA 1,{138.0},2,1.04434,Clackamas,Oregon
POINT (-122.1749 45.3824),SANDY 1,{138.0},3,1.046639,Clackamas,Oregon
POINT (-122.148 42.4035),KLAMATH FALLS 1,{138.0},2,1.048061,Klamath,Oregon
POINT (-121.98 44.4473),SISTERS,{138.0},2,1.055078,Linn,Oregon
POINT (-121.628 42.2055),KLAMATH FALLS 2,{138.0},2,1.061406,Klamath,Oregon
POINT (-121.7343 42.0984),KLAMATH FALLS 3,{138.0},2,1.062043,Klamath,Oregon
POINT (-121.6308 43.0194),CHILOQUIN,{138.0},2,1.040785,Klamath,Oregon
POINT (-121.6952 45.4636),MOUNT HOOD PARKDALE,"{1.0, 138.0, 18.0}",4,1.042259,Hood River,Oregon
POINT (-121.5492 45.7223),HOOD RIVER,{138.0},1,1.039502,Hood River,Oregon
POINT (-121.4945 43.886),BEND 1,{138.0},1,1.036826,Deschutes,Oregon
POINT (-121.3711 43.637),LA PINE,{138.0},1,1.03485,Deschutes,Oregon
POINT (-121.5238 42.0133),MALIN,{138.0},1,1.064951,Klamath,Oregon
POINT (-121.3475 42.1897),BONANZA,{138.0},1,1.066899,Klamath,Oregon
POINT (-121.2144 44.8021),WARM SPRINGS,{138.0},1,1.052742,Jefferson,Oregon
POINT (-121.3017 44.0067),BEND 2,{138.0},2,1.04349,Deschutes,Oregon
POINT (-121.1905 44.0749),BEND 3,{138.0},2,1.0405,Deschutes,Oregon
POINT (-121.2565 44.3835),TERREBONNE,{138.0},2,1.055936,Deschutes,Oregon
POINT (-121.1534 44.2071),REDMOND 4,{138.0},2,1.04594,Deschutes,Oregon
POINT (-121.2211 44.2292),REDMOND 5,{138.0},2,1.051601,Deschutes,Oregon
POINT (-121.2674 44.1983),BEND 4,"{345.0, 138.0}",3,1.060193,Deschutes,Oregon
POINT (-121.2282 44.16),BEND 5,{138.0},1,1.043569,Deschutes,Oregon
POINT (-121.1834 45.6311),THE DALLES 1,{138.0},2,1.055248,Klickitat,Washington
POINT (-120.9893 44.5742),MADRAS 1,{138.0},1,1.063887,Jefferson,Oregon
POINT (-120.6611 44.1967),PRINEVILLE,{138.0},2,1.047118,Crook,Oregon
POINT (-120.4491 43.1784),CHRISTMAS VALLEY,{138.0},2,1.058083,Lake,Oregon
POINT (-120.4087 42.2839),LAKEVIEW,{138.0},2,1.063732,Lake,Oregon
POINT (-119.975 45.8281),BOARDMAN 1,{138.0},2,1.068066,Klickitat,Washington
POINT (-119.5855 45.8928),IRRIGON,{138.0},1,1.073579,Morrow,Oregon
POINT (-119.4537 45.3645),HEPPNER,{138.0},2,1.066544,Morrow,Oregon
POINT (-119.4515 45.9145),UMATILLA 1,{138.0},1,1.070069,Morrow,Oregon
POINT (-119.1971 45.7648),HERMISTON 1,{138.0},2,1.064822,Umatilla,Oregon
POINT (-119.2251 45.8201),HERMISTON 2,{138.0},2,1.067643,Umatilla,Oregon
POINT (-118.9902 44.4751),JOHN DAY,{138.0},2,1.074611,Grant,Oregon
POINT (-118.8781 43.6553),BURNS 1,{138.0},4,1.07031,Harney,Oregon
POINT (-118.7835 45.3753),PILOT ROCK,{138.0},1,1.07426,Umatilla,Oregon
POINT (-118.8894 45.657),PENDLETON,{138.0},1,1.067371,Umatilla,Oregon
POINT (-118.2773 45.8727),MILTON FREEWATER 1,{138.0},1,1.1,Umatilla,Oregon
POINT (-118.3291 46.178),WALLA WALLA 1,{138.0},3,1.082555,Walla Walla,Washington
POINT (-118.2964 46.1518),WALLA WALLA 2,"{1.0, 138.0, 13.8, 22.0, 345.0}",8,1.085787,Walla Walla,Washington
POINT (-118.2002 45.3353),LA GRANDE,{138.0},1,1.088944,Union,Oregon
POINT (-117.8459 45.6436),ELGIN,{138.0},1,1.095882,Union,Oregon
POINT (-117.7051 44.8738),BAKER CITY,{138.0},1,1.094097,Baker,Oregon
POINT (-117.683 45.2283),UNION 1,{138.0},1,1.09859,Union,Oregon
POINT (-117.2968 44.1013),VALE 1,{138.0},3,1.086599,Malheur,Oregon
POINT (-117.293 45.6648),ENTERPRISE 1,{138.0},1,1.096348,Wallowa,Oregon
POINT (-117.0318 44.0355),ONTARIO 1,"{345.0, 138.0}",2,1.078266,Malheur,Oregon
POINT (-116.9455 45.4945),JOSEPH,"{1.0, 138.0, 13.8}",4,1.097958,Wallowa,Oregon
POINT (-122.0414 44.286),BLUE RIVER,"{345.0, 138.0, 13.8, 1.0}",5,1.055668,Linn,Oregon
POINT (-120.125 45.7119),ARLINGTON 3,{138.0},1,1.066533,Gilliam,Oregon
POINT (-122.0703 42.0936),KENO,"{345.0, 138.0}",3,1.046932,Klamath,Oregon
POINT (-123.1719 46.1789),CLATSKANIE 2,{138.0},2,1.030555,Columbia,Oregon
POINT (-118.8162 46.0128),HELIX 1,"{345.0, 138.0, 13.8}",3,1.081842,Walla Walla,Washington
POINT (-120.2098 45.6525),ARLINGTON 4,"{138.0, 18.0}",3,1.054517,Gilliam,Oregon
POINT (-119.2988 45.9402),UMATILLA 2,"{1.0, 138.0, 13.8, 18.0, 345.0, 765.0}",11,1.066766,Benton,Washington
POINT (-117.8163 45.0852),UNION 2,"{345.0, 138.0, 20.0}",3,1.097069,Union,Oregon
POINT (-120.5042 45.5836),WASCO 1,"{24.0, 345.0, 138.0, 13.8}",4,1.057845,Sherman,Oregon
POINT (-122.2511 44.7224),LOWELL 1,"{345.0, 138.0}",4,1.049683,Marion,Oregon
POINT (-122.9627 45.2879),NEWBERG 3,"{1.0, 138.0, 13.8}",4,1.034075,Yamhill,Oregon
POINT (-120.6941 45.7164),THE DALLES 2,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",10,1.039189,Klickitat,Washington
POINT (-119.3133 45.794),HERMISTON 3,"{138.0, 13.8, 18.0, 345.0, 765.0}",6,1.066618,Umatilla,Oregon
POINT (-123.4066 46.154),CLATSKANIE 3,{138.0},1,1.028697,Clatsop,Oregon
POINT (-122.4238 43.7107),LOWELL 2,{138.0},1,1.05838,Lane,Oregon
POINT (-120.2794 45.2766),CONDON,"{138.0, 13.8}",2,1.068455,Gilliam,Oregon
POINT (-120.6034 45.6537),WASCO 2,"{345.0, 138.0, 18.0, 13.8}",6,1.055728,Sherman,Oregon
POINT (-121.8144 42.1727),KLAMATH FALLS 4,{138.0},1,1.063485,Klamath,Oregon
POINT (-121.2773 44.6058),MADRAS 2,"{138.0, 13.8, 18.0, 345.0, 765.0}",6,1.080979,Jefferson,Oregon
POINT (-120.5744 45.52),MORO,"{138.0, 18.0}",3,1.062647,Sherman,Oregon
POINT (-122.2439 44.1307),LOWELL 3,"{1.0, 138.0, 13.8}",5,1.051798,Lane,Oregon
POINT (-119.37 45.8042),HERMISTON 4,"{345.0, 138.0, 18.0, 13.8}",6,1.057749,Umatilla,Oregon
POINT (-116.835 44.9716),OXBOW 1,"{345.0, 138.0, 18.0, 1.0}",5,1.091287,Baker,Oregon
POINT (-123.4156 43.0895),DEXTER 2,"{345.0, 138.0}",2,1.077081,Douglas,Oregon
POINT (-119.6739 45.848),BOARDMAN 2,"{138.0, 13.8}",4,1.080047,Morrow,Oregon
POINT (-121.8106 42.1739),KLAMATH FALLS 5,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",8,1.065353,Klamath,Oregon
POINT (-122.9555 44.0569),SPRINGFIELD 5,"{1.0, 138.0, 13.8, 13.2, 345.0}",7,1.040832,Lane,Oregon
POINT (-120.3183 45.6758),ARLINGTON 5,"{138.0, 20.0}",2,1.0602,Gilliam,Oregon
POINT (-123.9319 44.6119),TOLEDO 2,"{345.0, 138.0}",2,1.039807,Lincoln,Oregon
POINT (-118.66 45.9362),HELIX 2,{138.0},1,1.085234,Umatilla,Oregon
POINT (-119.9914 45.6533),IONE 2,{138.0},2,1.067391,Morrow,Oregon
POINT (-122.0699 45.122),ESTACADA 2,"{138.0, 13.8}",4,1.036797,Clackamas,Oregon
POINT (-122.7531 43.9153),LOWELL 4,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",9,1.069219,Lane,Oregon
POINT (-120.2008 45.7167),ARLINGTON 6,"{138.0, 13.8}",3,1.061517,Gilliam,Oregon
POINT (-122.28 45.2433),ESTACADA 3,"{345.0, 138.0}",2,1.045347,Clackamas,Oregon
POINT (-116.7008 45.2439),OXBOW 2,"{138.0, 13.2, 18.0, 345.0, 765.0}",6,1.088192,Wallowa,Oregon
POINT (-122.4728 43.2939),IDLEYLD PARK 1,{138.0},1,1.080547,Douglas,Oregon
POINT (-122.4098 43.2669),IDLEYLD PARK 2,"{1.0, 138.0, 13.8}",4,1.081259,Douglas,Oregon
POINT (-118.5914 45.8992),ATHENA,"{138.0, 13.8}",6,1.08746,Umatilla,Oregon
POINT (-122.514 42.7312),PROSPECT,"{138.0, 13.8}",3,1.081279,Jackson,Oregon
POINT (-119.4181 45.7286),ECHO,{138.0},2,1.07427,Umatilla,Oregon
POINT (-120.2598 45.651),ARLINGTON 7,"{345.0, 138.0, 13.8}",4,1.059297,Gilliam,Oregon
POINT (-121.1346 45.614),THE DALLES 3,"{1.0, 138.0, 13.8, 22.0, 24.0, 345.0, 765.0}",12,1.055201,Klickitat,Washington
POINT (-122.85 42.4361),WHITE CITY 2,{138.0},1,1.064366,Jackson,Oregon
POINT (-122.2494 43.3558),IDLEYLD PARK 3,{138.0},1,1.082109,Douglas,Oregon
POINT (-120.48 45.51),WASCO 3,{138.0},3,1.072187,Sherman,Oregon
POINT (-118.591 45.943),MILTON FREEWATER 2,"{1.0, 138.0, 13.8, 22.0, 345.0}",8,1.079323,Umatilla,Oregon
POINT (-123.1739 46.1724),CLATSKANIE 4,"{345.0, 138.0, 765.0}",5,1.033294,Columbia,Oregon
POINT (-122.5494 44.4494),LOWELL 5,"{345.0, 138.0, 13.8, 1.0}",5,1.046043,Linn,Oregon
POINT (-122.6772 42.6717),TRAIL,{138.0},1,1.07569,Jackson,Oregon
POINT (-122.4475 43.2727),IDLEYLD PARK 4,"{345.0, 138.0, 13.8, 13.2}",4,1.064502,Douglas,Oregon
POINT (-120.593 45.571),WASCO 4,"{138.0, 18.0, 13.8}",3,1.025719,Sherman,Oregon
POINT (-121.2314 44.6944),MADRAS 3,{138.0},1,1.064728,Jefferson,Oregon
POINT (-122.0832 45.4817),SANDY 2,"{138.0, 22.0}",2,1.044387,Multnomah,Oregon
POINT (-121.941 45.6441),CASCADE LOCKS,"{138.0, 13.8, 18.0, 24.0, 345.0, 765.0}",9,1.04643,Multnomah,Oregon
POINT (-119.674 45.848),BOARDMAN 3,"{345.0, 138.0, 18.0, 13.8}",4,1.07005,Morrow,Oregon
POINT (-122.4025 43.2806),IDLEYLD PARK 5,"{138.0, 13.8}",2,1.054936,Douglas,Oregon
POINT (-120.1739 45.2881),ARLINGTON 8,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",6,1.058287,Gilliam,Oregon
POINT (-117.4681 44.0231),VALE 2,{138.0},2,1.085972,Malheur,Oregon
POINT (-123.172 46.1789),CLATSKANIE 5,"{1.0, 138.0, 13.8, 18.0, 345.0}",6,1.030525,Columbia,Oregon
POINT (-119.8088 45.6932),BOARDMAN 4,"{345.0, 138.0, 13.8, 765.0}",5,1.067091,Morrow,Oregon
POINT (-124.0936 40.8174),EUREKA 1,{138.0},1,1.077192,Humboldt,California
POINT (-124.2047 40.6101),FORTUNA,{138.0},1,1.058299,Humboldt,California
POINT (-124.2029 40.6799),EUREKA 2,{138.0},2,1.060531,Humboldt,California
POINT (-124.0938 40.8106),ARCATA,{138.0},1,1.077323,Humboldt,California
POINT (-124.1341 41.9152),CRESCENT CITY,"{345.0, 138.0}",3,1.058991,Del Norte,California
POINT (-124.0419 41.0489),MCKINLEYVILLE,{138.0},2,1.076305,Humboldt,California
POINT (-123.7487 40.0947),GARBERVILLE,{138.0},2,1.051676,Humboldt,California
POINT (-123.8025 39.2883),MENDOCINO,{138.0},2,1.058086,Mendocino,California
POINT (-123.6611 39.4902),FORT BRAGG,{138.0},1,1.058129,Mendocino,California
POINT (-123.6957 41.109),HOOPA,{138.0},2,1.080294,Humboldt,California
POINT (-123.5644 39.8453),LAYTONVILLE,{138.0},2,1.051842,Mendocino,California
POINT (-123.4364 39.4429),WILLITS,{138.0},2,1.06191,Mendocino,California
POINT (-123.2096 39.303),REDWOOD VALLEY,{138.0},1,1.062391,Mendocino,California
POINT (-123.219 39.1828),UKIAH 1,"{345.0, 138.0}",3,1.06365,Mendocino,California
POINT (-123.2438 39.195),UKIAH 2,{138.0},1,1.062965,Mendocino,California
POINT (-123.289 40.5066),HAYFORK,{138.0},1,1.042513,Trinity,California
POINT (-123.1431 38.7669),CLOVERDALE 2,{138.0},1,1.066037,Sonoma,California
POINT (-122.9921 41.6286),FORT JONES,{138.0},1,1.074498,Siskiyou,California
POINT (-122.899 39.0165),LAKEPORT,{138.0},1,1.061763,Lake,California
POINT (-122.9529 40.7654),WEAVERVILLE,{138.0},1,1.036292,Trinity,California
POINT (-122.878 39.307),UPPER LAKE,{138.0},1,1.061347,Lake,California
POINT (-122.8283 39.0076),KELSEYVILLE,{138.0},2,1.061825,Lake,California
POINT (-122.5828 41.6573),YREKA,{138.0},2,1.046623,Siskiyou,California
POINT (-122.6205 38.9584),CLEARLAKE,{138.0},1,1.064189,Lake,California
POINT (-122.6356 38.72),HIDDEN VALLEY LAKE,{138.0},1,1.065958,Lake,California
POINT (-122.5058 41.3756),WEED,{138.0},2,1.049538,Siskiyou,California
POINT (-122.4462 40.5117),REDDING 1,{138.0},2,1.042592,Shasta,California
POINT (-122.4095 40.5918),REDDING 2,{138.0},1,1.034991,Shasta,California
POINT (-122.4652 40.36),COTTONWOOD 1,{138.0},1,1.038964,Tehama,California
POINT (-122.4824 40.1428),RED BLUFF 1,{138.0},2,1.034913,Tehama,California
POINT (-122.3695 40.2226),RED BLUFF 2,{138.0},1,1.041611,Tehama,California
POINT (-122.3057 41.2774),MOUNT SHASTA,{138.0},1,1.053151,Siskiyou,California
POINT (-122.3442 41.6615),MONTAGUE,{138.0},2,1.047375,Siskiyou,California
POINT (-122.3978 40.5744),REDDING 3,{138.0},2,1.037433,Shasta,California
POINT (-122.378 40.4646),REDDING 4,{138.0},1,1.042697,Shasta,California
POINT (-122.3553 39.0748),WILLIAMS 1,{138.0},1,1.065688,Colusa,California
POINT (-122.3231 40.5064),ANDERSON 1,{138.0},2,1.043247,Shasta,California
POINT (-122.3655 39.8848),CORNING,{138.0},1,1.036572,Tehama,California
POINT (-122.188 39.5029),WILLOWS,{138.0},1,1.044276,Glenn,California
POINT (-122.1963 39.7027),ORLAND,{138.0},1,1.036586,Glenn,California
POINT (-122.2906 40.6802),REDDING 5,{138.0},1,1.034267,Shasta,California
POINT (-122.2561 40.7133),REDDING 6,{138.0},2,1.035007,Shasta,California
POINT (-122.1127 40.5448),PALO CEDRO,{138.0},1,1.048457,Shasta,California
POINT (-122.0477 40.149),LOS MOLINOS,{138.0},3,1.043673,Tehama,California
POINT (-122.0111 38.6378),ESPARTO,{138.0},1,1.056959,Yolo,California
POINT (-122.0686 39.1751),COLUSA,{138.0},2,1.067253,Colusa,California
POINT (-121.9206 40.5596),SHINGLETOWN,{138.0},1,1.059219,Shasta,California
POINT (-121.7763 38.7303),WOODLAND 2,{138.0},1,1.058726,Yolo,California
POINT (-121.7904 38.7013),WOODLAND 3,{138.0},2,1.059042,Yolo,California
POINT (-121.9393 39.7204),CHICO 1,"{345.0, 138.0}",2,1.063256,Butte,California
POINT (-121.7794 39.6838),CHICO 2,{138.0},1,1.053706,Butte,California
POINT (-121.8464 39.7163),CHICO 3,{138.0},1,1.052886,Butte,California
POINT (-121.9257 39.6884),CHICO 4,{138.0},2,1.055559,Butte,California
POINT (-121.8762 39.8312),CHICO 5,{138.0},1,1.048357,Butte,California
POINT (-121.7775 39.8048),CHICO 6,{138.0},2,1.042217,Butte,California
POINT (-121.6993 38.5482),DAVIS 1,{138.0},1,1.059872,Yolo,California
POINT (-121.7232 38.4852),DAVIS 2,{138.0},2,1.057819,Solano,California
POINT (-121.7001 39.2733),LIVE OAK,{138.0},2,1.059591,Sutter,California
POINT (-121.7589 39.3856),GRIDLEY,{138.0},1,1.058107,Butte,California
POINT (-121.7354 38.1281),RIO VISTA 1,{138.0},2,1.071439,Solano,California
POINT (-121.7095 38.7175),WOODLAND 4,{138.0},1,1.060344,Yolo,California
POINT (-121.6862 39.0517),YUBA CITY 1,{138.0},1,1.06161,Sutter,California
POINT (-121.6205 39.1727),YUBA CITY 2,{138.0},3,1.063327,Sutter,California
POINT (-121.6868 39.7733),PARADISE 1,{138.0},2,1.043042,Butte,California
POINT (-121.7181 39.8079),PARADISE 2,{138.0},1,1.044217,Butte,California
POINT (-121.6596 39.0471),YUBA CITY 3,{138.0},3,1.061167,Sutter,California
POINT (-121.5073 38.925),YUBA CITY 4,{138.0},4,1.046924,Sutter,California
POINT (-121.5332 38.6493),WEST SACRAMENTO 1,{138.0},1,1.053001,Sacramento,California
POINT (-121.6212 38.6259),WEST SACRAMENTO 2,{138.0},2,1.056248,Yolo,California
POINT (-121.566 39.8217),MAGALIA,{138.0},2,1.054655,Butte,California
POINT (-121.4829 39.5586),OROVILLE 2,{138.0},1,1.058807,Butte,California
POINT (-121.5151 38.9624),OLIVEHURST,{138.0},3,1.049741,Sutter,California
POINT (-121.4974 38.6493),WEST SACRAMENTO 3,{138.0},2,1.05285,Sacramento,California
POINT (-121.4548 38.5421),SACRAMENTO 1,{138.0},1,1.061689,Sacramento,California
POINT (-121.513 38.458),SACRAMENTO 2,{138.0},1,1.062882,Yolo,California
POINT (-121.4759 38.6956),SACRAMENTO 3,{138.0},2,1.063939,Sacramento,California
POINT (-121.5311 38.6277),SACRAMENTO 4,{138.0},1,1.061002,Sacramento,California
POINT (-121.5718 38.631),SACRAMENTO 5,{138.0},1,1.053695,Yolo,California
POINT (-121.5111 38.6091),SACRAMENTO 6,"{345.0, 138.0}",2,1.064969,Sacramento,California
POINT (-121.5215 38.6866),SACRAMENTO 7,{138.0},1,1.057755,Sacramento,California
POINT (-121.4585 38.6526),SACRAMENTO 8,{138.0},1,1.068157,Sacramento,California
POINT (-121.4905 38.4104),SACRAMENTO 9,"{1.0, 138.0, 22.0}",4,1.060946,Sacramento,California
POINT (-121.4361 39.2297),MARYSVILLE 5,{138.0},1,1.05566,Yuba,California
POINT (-121.458 39.1681),MARYSVILLE 6,{138.0},2,1.053848,Yuba,California
POINT (-121.5239 38.5553),SACRAMENTO 10,{138.0},1,1.060834,Yolo,California
POINT (-121.4472 38.5004),SACRAMENTO 11,{138.0},1,1.062507,Sacramento,California
POINT (-121.5461 38.6069),SACRAMENTO 12,{138.0},1,1.06027,Sacramento,California
POINT (-121.4451 38.7621),RIO LINDA,{138.0},1,1.05447,Placer,California
POINT (-121.4242 38.6408),SACRAMENTO 13,{138.0},2,1.0649,Sacramento,California
POINT (-121.5316 38.5717),SACRAMENTO 14,{138.0},2,1.059878,Yolo,California
POINT (-121.5205 38.6195),SACRAMENTO 15,{138.0},2,1.062316,Sacramento,California
POINT (-121.4143 38.6796),SACRAMENTO 16,{138.0},1,1.05142,Sacramento,California
POINT (-121.4501 38.3981),ELK GROVE 1,{138.0},2,1.061738,Sacramento,California
POINT (-121.4328 38.4722),ELK GROVE 2,{138.0},2,1.061017,Sacramento,California
POINT (-121.4347 38.5663),SACRAMENTO 17,{138.0},1,1.063465,Sacramento,California
POINT (-121.5301 38.5097),SACRAMENTO 18,{138.0},2,1.060649,Sacramento,California
POINT (-121.5345 38.3814),SACRAMENTO 19,{138.0},1,1.059112,Yolo,California
POINT (-121.4448 38.4098),SACRAMENTO 20,{138.0},1,1.061924,Sacramento,California
POINT (-121.3584 38.5227),SACRAMENTO 21,{138.0},3,1.058311,Sacramento,California
POINT (-121.4184 41.6785),TULELAKE,{138.0},2,1.055182,Modoc,California
POINT (-121.4297 38.5183),SACRAMENTO 22,{138.0},3,1.063248,Sacramento,California
POINT (-121.5165 38.433),ELK GROVE 3,{138.0},2,1.061551,Sacramento,California
POINT (-121.4596 38.4065),ELK GROVE 4,{138.0},2,1.062489,Sacramento,California
POINT (-121.4903 39.4196),OROVILLE 3,{138.0},3,1.063715,Butte,California
POINT (-121.4817 39.4888),OROVILLE 4,{138.0},2,1.061045,Butte,California
POINT (-121.4751 38.5985),SACRAMENTO 23,{138.0},1,1.066374,Sacramento,California
POINT (-121.4343 38.5884),SACRAMENTO 24,{138.0},1,1.063138,Sacramento,California
POINT (-121.3401 38.5847),SACRAMENTO 25,{138.0},1,1.04963,Sacramento,California
POINT (-121.3399 38.5386),SACRAMENTO 26,{138.0},1,1.059776,Sacramento,California
POINT (-121.4407 38.7003),SACRAMENTO 27,{138.0},1,1.052486,Sacramento,California
POINT (-121.4522 38.7165),SACRAMENTO 28,{138.0},1,1.054565,Sacramento,California
POINT (-121.4657 38.633),NORTH HIGHLANDS 1,{138.0},1,1.070955,Sacramento,California
POINT (-121.4543 38.6829),NORTH HIGHLANDS 2,{138.0},2,1.067308,Sacramento,California
POINT (-121.4754 38.5359),SACRAMENTO 29,{138.0},1,1.062801,Sacramento,California
POINT (-121.2807 38.6248),SACRAMENTO 30,{138.0},1,1.047673,Sacramento,California
POINT (-121.3483 38.5879),SACRAMENTO 31,{138.0},1,1.049823,Sacramento,California
POINT (-121.2745 38.7911),ROSEVILLE 1,{138.0},1,1.046534,Placer,California
POINT (-121.3384 38.851),ROSEVILLE 2,{138.0},1,1.046904,Placer,California
POINT (-121.3431 38.6452),ANTELOPE 1,{138.0},1,1.057483,Sacramento,California
POINT (-121.3736 38.6998),ANTELOPE 2,{138.0},1,1.051625,Sacramento,California
POINT (-121.4393 38.7417),SACRAMENTO 32,"{1.0, 138.0, 18.0}",4,1.053991,Placer,California
POINT (-121.4144 38.6239),SACRAMENTO 33,{138.0},2,1.063674,Sacramento,California
POINT (-121.2253 38.5373),CARMICHAEL 1,{138.0},3,1.047906,Sacramento,California
POINT (-121.2915 38.5893),CARMICHAEL 2,{138.0},2,1.048848,Sacramento,California
POINT (-121.3844 38.5109),SACRAMENTO 34,{138.0},1,1.060976,Sacramento,California
POINT (-121.4041 38.5709),SACRAMENTO 35,{138.0},2,1.063477,Sacramento,California
POINT (-121.3747 38.3528),ELK GROVE 5,{138.0},1,1.060887,Sacramento,California
POINT (-121.2566 38.5049),ELK GROVE 6,{138.0},2,1.047651,Sacramento,California
POINT (-121.3499 38.9214),LINCOLN 1,{138.0},2,1.066116,Placer,California
POINT (-121.3765 38.9162),LINCOLN 2,{138.0},1,1.064799,Placer,California
POINT (-121.3207 38.619),CITRUS HEIGHTS 1,{138.0},1,1.048091,Sacramento,California
POINT (-121.2363 38.6678),CITRUS HEIGHTS 2,{138.0},1,1.05214,Sacramento,California
POINT (-121.2625 38.7239),ROSEVILLE 3,{138.0},2,1.074573,Placer,California
POINT (-121.3197 38.7651),ROSEVILLE 4,{138.0},1,1.051165,Placer,California
POINT (-121.2281 38.6256),RANCHO CORDOVA 1,{138.0},2,1.047906,Sacramento,California
POINT (-121.2866 38.5264),RANCHO CORDOVA 2,{138.0},1,1.051144,Sacramento,California
POINT (-121.2056 38.8736),ROCKLIN 1,{138.0},1,1.055422,Placer,California
POINT (-121.2026 38.8181),ROCKLIN 2,{138.0},2,1.054489,Placer,California
POINT (-121.2122 38.616),CITRUS HEIGHTS 3,{138.0},2,1.047386,Sacramento,California
POINT (-121.184 38.5994),CITRUS HEIGHTS 4,{138.0},1,1.04716,Sacramento,California
POINT (-121.2119 38.2631),GALT 1,{138.0},2,1.063461,Sacramento,California
POINT (-121.3022 38.2636),GALT 2,"{1.0, 138.0, 18.0}",6,1.069057,Sacramento,California
POINT (-121.2934 38.7437),FAIR OAKS 1,{138.0},1,1.07679,Placer,California
POINT (-121.2548 38.6945),FAIR OAKS 2,{138.0},2,1.052608,Sacramento,California
POINT (-121.2222 38.6755),ROSEVILLE 5,{138.0},1,1.052616,Sacramento,California
POINT (-121.3116 38.6793),ROSEVILLE 6,{138.0},1,1.050543,Sacramento,California
POINT (-121.3238 38.8044),ROCKLIN 3,{138.0},3,1.054715,Placer,California
POINT (-121.2376 38.7272),ORANGEVALE,{138.0},1,1.069167,Placer,California
POINT (-121.1227 38.4956),WILTON,{138.0},1,1.048741,Sacramento,California
POINT (-121.1438 39.3091),PENN VALLEY,{138.0},1,1.059586,Nevada,California
POINT (-121.1026 38.629),RANCHO CORDOVA 3,{138.0},1,1.052328,Sacramento,California
POINT (-121.28 38.7531),GRANITE BAY,{138.0},1,1.07901,Placer,California
POINT (-121.0847 38.828),LOOMIS,{138.0},2,1.055791,El Dorado,California
POINT (-121.1904 38.5952),FOLSOM 1,"{345.0, 138.0, 13.2, 1.0}",5,1.047671,Sacramento,California
POINT (-121.1881 38.6938),FOLSOM 2,{138.0},1,1.057671,Sacramento,California
POINT (-121.0413 39.1504),GRASS VALLEY 1,{138.0},2,1.05303,Nevada,California
POINT (-121.0602 38.9542),AUBURN 7,{138.0},1,1.052745,Placer,California
POINT (-121.0519 39.014),AUBURN 8,{138.0},1,1.052551,Nevada,California
POINT (-120.9843 38.6882),EL DORADO HILLS 1,{138.0},1,1.053216,El Dorado,California
POINT (-121.0095 38.7059),EL DORADO HILLS 2,{138.0},1,1.053976,El Dorado,California
POINT (-120.9467 40.3077),WESTWOOD,{138.0},2,1.074962,Lassen,California
POINT (-120.9728 39.2233),GRASS VALLEY 2,{138.0},1,1.051643,Nevada,California
POINT (-120.979 38.5932),SHINGLE SPRINGS 1,{138.0},2,1.052815,El Dorado,California
POINT (-120.9515 38.6252),SHINGLE SPRINGS 2,{138.0},1,1.054051,El Dorado,California
POINT (-120.9138 39.2704),NEVADA CITY,{138.0},1,1.051965,Nevada,California
POINT (-120.9327 40.0203),QUINCY 2,{138.0},2,1.077921,Plumas,California
POINT (-120.8807 39.0332),COLFAX 2,{138.0},1,1.057222,Placer,California
POINT (-120.8748 38.9589),FORESTHILL 1,{138.0},1,1.05998,Placer,California
POINT (-120.8201 38.8271),PLACERVILLE 1,{138.0},1,1.068726,El Dorado,California
POINT (-120.7677 38.6378),PLACERVILLE 2,{138.0},2,1.074565,El Dorado,California
POINT (-120.5961 40.5989),SUSANVILLE,{138.0},2,1.067898,Lassen,California
POINT (-120.5829 41.5381),ALTURAS,{138.0},1,1.068966,Modoc,California
POINT (-120.4449 38.7657),POLLOCK PINES 1,{138.0},1,1.07032,El Dorado,California
POINT (-120.5751 40.3717),JANESVILLE,{138.0},2,1.071213,Lassen,California
POINT (-120.3969 39.9166),PORTOLA,"{1.0, 138.0, 13.8}",4,1.077225,Plumas,California
POINT (-120.1879 39.2883),TRUCKEE,{138.0},1,1.049643,Placer,California
POINT (-119.9314 38.8533),SOUTH LAKE TAHOE 1,{138.0},1,1.06756,El Dorado,California
POINT (-119.9598 38.8675),SOUTH LAKE TAHOE 2,{138.0},2,1.067188,El Dorado,California
POINT (-120.3245 38.9827),POLLOCK PINES 2,"{345.0, 138.0, 13.8, 1.0}",5,1.070424,El Dorado,California
POINT (-121.3933 38.6527),MCCLELLAN,"{345.0, 138.0}",3,1.065227,Sacramento,California
POINT (-121.8036 40.8981),BURNEY 1,"{345.0, 138.0, 20.0}",3,1.03683,Shasta,California
POINT (-121.2494 40.0074),BELDEN,"{138.0, 13.8}",2,1.035728,Plumas,California
POINT (-122.27 39.3661),MAXWELL,"{138.0, 13.8, 18.0, 22.0, 24.0, 345.0, 765.0}",8,1.063496,Colusa,California
POINT (-122.7195 38.752),MIDDLETOWN 1,{138.0},1,1.072719,Sonoma,California
