wkt,flow capacity,pf,qf,pt,qt,kilovolt,line_name,srouce,target,actual flow,loading percent
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1374.96,-0.0,0.0,-0.0,0.0,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,0.0,0.0
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1371.62,-85.282559,8.440617,85.290001,-7.799728,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,85.282559,6.2176520464851786
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1369.65,-138.629725,9.498149,138.650001,-7.799727,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,138.629725,10.121543825064798
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1369.55,0.0,-0.0,0.0,-0.0,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,0.0,0.0
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1369.41,-120.617337,8.770968,120.630001,-7.799729,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,120.617337,8.807978399456701
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",1368.2,-109.913869,8.963916,109.930001,-7.799725,765.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,109.913869,8.033465063587194
"LINESTRING (-119.908 46.6451, -119.3339 46.4711)",4069.09,-829.15595,41.005515,829.823466,-219.023873,765.0,MATTAWA 2 -- RICHLAND 4,RICHLAND 4,MATTAWA 2,829.15595,20.37693808689412
"LINESTRING (-119.908 46.6451, -119.9703 46.8731)",3916.79,175.022432,-109.202383,-175.003448,20.176337,765.0,MATTAWA 2 -- BEVERLY,MATTAWA 2,BEVERLY,175.022432,4.468517127545772
"LINESTRING (-119.908 46.6451, -120.833 45.8114)",4131.05,823.46069,29.713659,-821.754187,-399.305484,765.0,MATTAWA 2 -- GOLDENDALE 5,MATTAWA 2,GOLDENDALE 5,823.46069,19.93344767068905
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",427.61,128.647381,11.494915,-128.592875,-7.976486,345.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,128.647381,30.085213395383644
"LINESTRING (-119.908 46.6451, -119.908 46.6451)",246.76,-9.019269,-4.672484,9.020001,4.719128,345.0,MATTAWA 2 -- MATTAWA 2,MATTAWA 2,MATTAWA 2,9.019269,3.655077403144756
"LINESTRING (-119.908 46.6451, -119.9703 46.8731)",1037.07,-10.078243,-46.888359,10.085803,18.576346,345.0,MATTAWA 2 -- BEVERLY,BEVERLY,MATTAWA 2,10.078243,0.971799685652849
"LINESTRING (-120.3475 45.8131, -120.3475 45.8131)",128.57,-59.594647,11.331678,59.720001,-7.634728,138.0,ROOSEVELT 1 -- ROOSEVELT 1,ROOSEVELT 1,ROOSEVELT 1,59.594647,46.35190713230147
"LINESTRING (-120.3475 45.8131, -120.3475 45.8131)",10000.0,0.710001,0.200006,-0.71,-0.2,138.0,ROOSEVELT 1 -- ROOSEVELT 1,ROOSEVELT 1,ROOSEVELT 1,0.710001,0.0071000099999999995
"LINESTRING (-120.3475 45.8131, -120.2896 45.8877)",207.33,22.726352,-0.700276,-22.71264,-0.876867,138.0,ROOSEVELT 1 -- BICKLETON 3,ROOSEVELT 1,BICKLETON 3,22.726352,10.961439251434909
"LINESTRING (-120.3475 45.8131, -120.3419 45.8155)",215.94,36.158294,-10.831408,-36.151963,10.809754,138.0,ROOSEVELT 1 -- ROOSEVELT 2,ROOSEVELT 1,ROOSEVELT 2,36.158294,16.744602204316013
"LINESTRING (-122.1097 46.4661, -122.1097 46.4661)",305.93,-48.529731,4.423783,48.531888,-4.477153,138.0,RANDLE -- RANDLE,RANDLE,RANDLE,48.529731,15.863018010656033
"LINESTRING (-122.1097 46.4661, -122.4247 46.5347)",167.02,-2.247145,0.907343,2.248316,-3.457642,138.0,RANDLE -- SILVER CREEK 2,SILVER CREEK 2,RANDLE,2.247145,1.345434678481619
"LINESTRING (-122.1097 46.4661, -122.1097 46.4661)",152.97,23.020001,-1.709709,-23.002914,2.183918,13.2,RANDLE -- RANDLE,RANDLE,RANDLE,23.020001,15.04870301366281
"LINESTRING (-122.1097 46.4661, -122.1097 46.4661)",152.97,25.550001,-1.709705,-25.528975,2.293236,13.2,RANDLE -- RANDLE,RANDLE,RANDLE,25.550001,16.702622082761327
"LINESTRING (-120.6872 47.1356, -120.6872 47.1356)",411.67,109.865748,-6.485069,-109.795971,10.827985,345.0,CLE ELUM 2 -- CLE ELUM 2,CLE ELUM 2,CLE ELUM 2,109.865748,26.687819855709666
"LINESTRING (-120.6872 47.1356, -120.6872 47.1356)",420.33,-79.377639,-8.5119,79.420001,10.923445,345.0,CLE ELUM 2 -- CLE ELUM 2,CLE ELUM 2,CLE ELUM 2,79.377639,18.884599957176505
"LINESTRING (-120.6872 47.1356, -120.6872 47.1356)",10000.0,1.190003,0.450014,-1.19,-0.45,345.0,CLE ELUM 2 -- CLE ELUM 2,CLE ELUM 2,CLE ELUM 2,1.190003,0.011900029999999999
"LINESTRING (-120.6872 47.1356, -120.6872 47.1356)",10000.0,-31.678113,14.546955,31.680283,-14.535459,345.0,CLE ELUM 2 -- CLE ELUM 2,CLE ELUM 2,CLE ELUM 2,31.678113,0.31678113
"LINESTRING (-120.6872 47.1356, -120.0917 47.3461)",1199.55,-220.277049,5.834736,220.903783,-39.070537,345.0,CLE ELUM 2 -- WENATCHEE 4,WENATCHEE 4,CLE ELUM 2,220.277049,18.3633069901213
"LINESTRING (-120.6872 47.1356, -120.2065 47.0363)",1197.59,-246.347741,23.158101,247.143374,-38.063546,345.0,CLE ELUM 2 -- ELLENSBURG 4,ELLENSBURG 4,CLE ELUM 2,246.347741,20.570290416586648
"LINESTRING (-120.8072 45.8797, -120.8072 45.8797)",177.19,-135.887606,13.845321,136.300001,-0.624694,138.0,GOLDENDALE 2 -- GOLDENDALE 2,GOLDENDALE 2,GOLDENDALE 2,135.887606,76.69033579773125
"LINESTRING (-120.8072 45.8797, -120.8072 45.8797)",10000.0,2.160013,0.730047,-2.16,-0.73,138.0,GOLDENDALE 2 -- GOLDENDALE 2,GOLDENDALE 2,GOLDENDALE 2,2.160013,0.021600130000000002
"LINESTRING (-120.8072 45.8797, -120.8072 45.8797)",10000.0,133.727593,-14.575368,-133.686749,14.750136,138.0,GOLDENDALE 2 -- GOLDENDALE 2,GOLDENDALE 2,GOLDENDALE 2,133.727593,1.3372759300000001
"LINESTRING (-120.8072 45.8797, -120.8072 45.8797)",10000.0,-0.0,0.0,-0.0,0.0,138.0,GOLDENDALE 2 -- GOLDENDALE 2,GOLDENDALE 2,GOLDENDALE 2,0.0,0.0
"LINESTRING (-120.8072 45.8797, -120.833 45.8114)",138.48,6.163591,-8.033044,-6.160734,6.637271,138.0,GOLDENDALE 2 -- GOLDENDALE 5,GOLDENDALE 2,GOLDENDALE 5,6.163591,4.450888937030618
"LINESTRING (-120.8072 45.8797, -121.5492 45.7223)",266.68,116.180072,1.256517,-114.660525,-1.33887,138.0,GOLDENDALE 2 -- HOOD RIVER,GOLDENDALE 2,HOOD RIVER,116.180072,43.56534873256337
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1500.23,526.704024,98.569176,-526.401896,-76.503924,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,526.704024,35.10821833985456
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1518.59,-171.119168,-79.73006,171.160002,83.165799,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,171.119168,11.268292824264615
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1517.03,-189.632798,-80.315855,189.670002,83.168039,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,189.632798,12.50026683717527
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1515.27,-135.920657,-80.931973,135.950001,83.1648,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,135.920657,8.970061903159174
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1513.23,-189.338162,-80.600789,189.370002,83.168434,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,189.338162,12.51218664710586
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1509.97,0.0,0.0,0.0,0.0,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,0.0,0.0
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",1505.34,-172.413887,-82.007719,172.430002,83.168957,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,172.413887,11.453484727702712
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",10000.0,331.720648,-70.644516,-331.44286,71.824125,765.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,331.720648,3.31720648
"LINESTRING (-120.2953 47.5336, -120.2953 47.5336)",522.31,261.145036,14.350582,-260.886331,2.549944,345.0,WENATCHEE 3 -- WENATCHEE 3,WENATCHEE 3,WENATCHEE 3,261.145036,49.998092320652496
"LINESTRING (-120.2953 47.5336, -120.0917 47.3461)",1094.29,-90.554833,51.334683,90.624982,-71.268353,345.0,WENATCHEE 3 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 3,90.554833,8.275213426057078
"LINESTRING (-120.2953 47.5336, -119.8653 47.9469)",1258.58,-308.543122,0.468728,309.923925,-33.282076,345.0,WENATCHEE 3 -- PATEROS,PATEROS,WENATCHEE 3,308.543122,24.515177581083446
"LINESTRING (-120.2953 47.5336, -120.0917 47.3461)",4009.72,300.305639,196.010573,-300.214051,-288.349475,765.0,WENATCHEE 3 -- WENATCHEE 4,WENATCHEE 3,WENATCHEE 4,300.305639,7.489441631834643
"LINESTRING (-120.2953 47.5336, -122.3657 47.0861)",4230.58,1456.324641,-91.601011,-1448.464786,-287.603954,765.0,WENATCHEE 3 -- TACOMA 19,WENATCHEE 3,TACOMA 19,1456.324641,34.42375846810602
"LINESTRING (-120.2953 47.5336, -118.9773 47.9575)",4243.33,-1425.35742,-176.253687,1429.609619,-206.77301,765.0,WENATCHEE 3 -- GRAND COULEE,GRAND COULEE,WENATCHEE 3,1425.35742,33.59053903420192
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1453.13,384.902933,-86.332674,-384.790569,96.748685,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,384.902933,26.48785263534577
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1223.71,-0.0,0.0,-0.0,0.0,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,0.0,0.0
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1223.22,-82.242512,-13.775092,82.250001,14.363061,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,82.242512,6.723444024787038
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1221.95,-104.884085,-10.355752,104.900001,11.570141,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,104.884085,8.583336879577724
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1216.91,-71.28032,-7.88315,71.290001,8.538713,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,71.28032,5.857484941367891
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1216.82,-71.07089,-8.339282,71.080001,9.030112,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,71.07089,5.840706924606763
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",1216.07,-0.0,-0.0,-0.0,-0.0,765.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,0.0,0.0
"LINESTRING (-120.0917 47.3461, -122.8598 46.7559)",4141.28,996.568965,-438.386521,-992.195682,-350.513584,765.0,WENATCHEE 4 -- CENTRALIA 2,WENATCHEE 4,CENTRALIA 2,996.568965,24.064273968434883
"LINESTRING (-120.0917 47.3461, -122.4358 48.4558)",4081.31,647.269185,-417.157913,-645.41087,-467.826564,765.0,WENATCHEE 4 -- BURLINGTON 2,WENATCHEE 4,BURLINGTON 2,647.269185,15.859348714015841
"LINESTRING (-120.0917 47.3461, -119.9703 46.8731)",3936.47,-280.7143,-219.960364,280.806952,-26.215505,765.0,WENATCHEE 4 -- BEVERLY,BEVERLY,WENATCHEE 4,280.7143,7.131117473269198
"LINESTRING (-120.0917 47.3461, -119.8653 47.9469)",4192.26,-1118.334926,-277.233726,1120.669851,68.625316,765.0,WENATCHEE 4 -- PATEROS,PATEROS,WENATCHEE 4,1118.334926,26.676182440974554
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",468.05,73.261804,13.590205,-73.214967,-10.528616,345.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,73.261804,15.652559341950646
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",393.05,-73.237836,-12.022408,73.214967,10.528616,138.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,73.237836,18.63321104185218
"LINESTRING (-120.0917 47.3461, -120.0917 47.3461)",75.0,-0.0,-0.0,0.0,0.0,18.0,WENATCHEE 4 -- WENATCHEE 4,WENATCHEE 4,WENATCHEE 4,0.0,0.0
"LINESTRING (-121.8144 47.9084, -121.8144 47.9084)",472.2,196.842781,80.352156,-196.606919,-68.079681,345.0,SULTAN 2 -- SULTAN 2,SULTAN 2,SULTAN 2,196.842781,41.68631533248623
"LINESTRING (-121.8144 47.9084, -119.6404 47.9951)",1373.72,-485.69243,-27.434747,495.132648,-19.024915,345.0,SULTAN 2 -- BRIDGEPORT,BRIDGEPORT,SULTAN 2,485.69243,35.3559990391055
"LINESTRING (-121.8144 47.9084, -121.2086 48.6981)",1335.66,-393.758113,-29.958091,396.779074,-28.222692,345.0,SULTAN 2 -- ROCKPORT 1,ROCKPORT 1,SULTAN 2,393.758113,29.480415150562266
"LINESTRING (-123.1603 47.3698, -123.1603 47.3698)",547.05,112.391957,-1.653589,-112.357826,3.640568,345.0,SHELTON 3 -- SHELTON 3,SHELTON 3,SHELTON 3,112.391957,20.54509770587698
"LINESTRING (-123.1603 47.3698, -123.1603 47.3698)",422.05,-112.337503,4.825642,112.357826,-3.640568,138.0,SHELTON 3 -- SHELTON 3,SHELTON 3,SHELTON 3,112.337503,26.61710768866248
"LINESTRING (-123.1603 47.3698, -123.2252 47.4181)",210.97,24.227554,-5.600178,-24.196449,4.938363,138.0,SHELTON 3 -- SHELTON 4,SHELTON 3,SHELTON 4,24.227554,11.483885860548893
"LINESTRING (-123.1603 47.3698, -123.1603 47.3698)",125.0,-0.0,-0.0,0.0,0.0,13.8,SHELTON 3 -- SHELTON 3,SHELTON 3,SHELTON 3,0.0,0.0
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",1777.25,737.691836,1333.974594,-736.22376,-1203.191765,765.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,737.691836,41.50748831059221
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",1777.25,784.209175,-86.008903,-783.815961,121.038214,765.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,784.209175,44.124865663243774
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",1777.25,784.209175,-86.008903,-783.815961,121.038214,765.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,784.209175,44.124865663243774
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",1367.63,-159.126446,19.476589,159.150001,-17.669897,765.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,159.126446,11.63519709278094
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",1366.92,-159.128501,19.518835,159.15,-17.669897,765.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,159.128501,11.641390937289673
"LINESTRING (-122.3657 47.0861, -122.8598 46.7559)",4058.84,-539.390453,-418.880104,539.887326,258.546042,765.0,TACOMA 19 -- CENTRALIA 2,CENTRALIA 2,TACOMA 19,539.390453,13.289276073952164
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",635.96,259.446872,145.897601,-259.089234,-121.438959,345.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,259.446872,40.796099125731175
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",635.96,259.446872,145.897601,-259.089234,-121.438959,345.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,259.446872,40.796099125731175
"LINESTRING (-122.3657 47.0861, -122.3657 47.0861)",635.96,259.446872,145.897601,-259.089234,-121.438959,345.0,TACOMA 19 -- TACOMA 19,TACOMA 19,TACOMA 19,259.446872,40.796099125731175
"LINESTRING (-122.3657 47.0861, -122.4283 47.2661)",1391.4,588.243724,136.058213,-586.794403,-141.203756,345.0,TACOMA 19 -- TACOMA 21,TACOMA 19,TACOMA 21,588.243724,42.27711111111111
"LINESTRING (-122.3657 47.0861, -122.365 47.0797)",313.07,-21.857799,141.359336,21.952122,-141.03078,138.0,TACOMA 19 -- TACOMA 20,TACOMA 20,TACOMA 19,21.857799,6.981760948030792
"LINESTRING (-122.2017 46.0608, -122.2017 46.0608)",1461.79,452.915578,34.29747,-452.645361,-15.445064,765.0,COUGAR 1 -- COUGAR 1,COUGAR 1,COUGAR 1,452.915578,30.98362815452288
"LINESTRING (-122.2017 46.0608, -122.2017 46.0608)",1100.75,-79.994081,4.321488,80.000001,-3.919965,765.0,COUGAR 1 -- COUGAR 1,COUGAR 1,COUGAR 1,79.994081,7.2672342493754245
"LINESTRING (-122.2017 46.0608, -122.2017 46.0608)",1092.82,-0.0,-0.0,0.0,0.0,765.0,COUGAR 1 -- COUGAR 1,COUGAR 1,COUGAR 1,0.0,0.0
"LINESTRING (-122.2017 46.0608, -122.2017 46.0608)",1088.73,-64.22465,4.31617,64.230001,-3.919965,765.0,COUGAR 1 -- COUGAR 1,COUGAR 1,COUGAR 1,64.22465,5.899042921569167
"LINESTRING (-122.2017 46.0608, -121.941 45.6441)",3975.91,-308.696847,-320.479986,308.84562,123.968023,765.0,COUGAR 1 -- CASCADE LOCKS,CASCADE LOCKS,COUGAR 1,308.696847,7.764180954800285
"LINESTRING (-122.2017 46.0608, -122.2017 46.0608)",443.91,134.032706,-2.185489,-133.959691,6.075308,345.0,COUGAR 1 -- COUGAR 1,COUGAR 1,COUGAR 1,134.032706,30.19366673424793
"LINESTRING (-122.2017 46.0608, -122.3355 45.9628)",1330.97,349.635746,115.222433,-348.951035,-116.898708,345.0,COUGAR 1 -- AMBOY,COUGAR 1,AMBOY,349.635746,26.26924318354283
"LINESTRING (-122.2017 46.0608, -122.4247 46.5347)",1129.14,-31.023091,-97.59188,31.07307,23.956846,345.0,COUGAR 1 -- SILVER CREEK 2,SILVER CREEK 2,COUGAR 1,31.023091,2.7474972988291975
"LINESTRING (-122.2017 46.0608, -122.2594 46.0594)",239.1,62.259512,-5.566826,-62.150112,5.429986,138.0,COUGAR 1 -- COUGAR 2,COUGAR 1,COUGAR 2,62.259512,26.03910999581765
"LINESTRING (-120.1819 46.9547, -120.1819 46.9547)",117.0,-66.22729,-6.232211,66.350001,10.372204,138.0,ELLENSBURG 3 -- ELLENSBURG 3,ELLENSBURG 3,ELLENSBURG 3,66.22729,56.604521367521365
"LINESTRING (-120.1819 46.9547, -119.9703 46.8731)",182.56,-7.439285,6.695949,7.44559,-9.188706,138.0,ELLENSBURG 3 -- BEVERLY,BEVERLY,ELLENSBURG 3,7.439285,4.074980828220859
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1568.88,824.927603,-36.534956,-824.706659,54.821008,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,824.927603,52.580669203508236
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1751.97,-409.247934,30.46558,409.370004,-20.053735,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,409.247934,23.359300330485112
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1746.69,0.0,0.0,0.0,0.0,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,0.0,0.0
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1744.98,-292.993227,24.956872,293.050003,-20.055732,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,292.993227,16.79063525083382
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1744.39,-0.0,0.0,-0.0,0.0,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,0.0,0.0
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1741.07,-323.01307,27.592322,323.100003,-20.053325,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,323.01307,18.552560781588337
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",1741.0,-333.793171,28.158125,333.930003,-18.254562,765.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,333.793171,19.17249689833429
"LINESTRING (-119.6404 47.9951, -121.0679 48.7326)",4211.49,1257.558337,-117.116698,-1253.039663,-419.737527,765.0,BRIDGEPORT -- ROCKPORT 3,BRIDGEPORT,ROCKPORT 3,1257.558337,29.860176255909426
"LINESTRING (-119.6404 47.9951, -118.9773 47.9575)",4182.56,-1069.25698,67.435948,1070.597736,-241.931817,765.0,BRIDGEPORT -- GRAND COULEE,GRAND COULEE,BRIDGEPORT,1069.25698,25.564653704907997
"LINESTRING (-119.6404 47.9951, -119.8653 47.9469)",3989.97,345.818442,-24.957193,-345.769423,-49.557236,765.0,BRIDGEPORT -- PATEROS,BRIDGEPORT,PATEROS,345.818442,8.667194039052925
"LINESTRING (-119.6404 47.9951, -119.6404 47.9951)",383.66,69.795646,-2.44993,-69.77298,3.787623,345.0,BRIDGEPORT -- BRIDGEPORT,BRIDGEPORT,BRIDGEPORT,69.795646,18.19205702966168
"LINESTRING (-119.6404 47.9951, -119.8653 47.9469)",1221.53,259.778365,-33.346163,-259.503653,19.044431,345.0,BRIDGEPORT -- PATEROS,BRIDGEPORT,PATEROS,259.778365,21.266638150516158
"LINESTRING (-122.5885 46.5035, -122.5885 46.5035)",342.9,34.038271,-0.980835,-34.032997,1.253827,345.0,SILVER CREEK 1 -- SILVER CREEK 1,SILVER CREEK 1,SILVER CREEK 1,34.038271,9.9265882181394
"LINESTRING (-122.5885 46.5035, -122.4247 46.5347)",1149.78,62.232241,-11.631839,-62.216135,0.87156,345.0,SILVER CREEK 1 -- SILVER CREEK 2,SILVER CREEK 1,SILVER CREEK 2,62.232241,5.412534658804293
"LINESTRING (-122.5885 46.5035, -122.9131 46.6225)",1177.14,-96.270512,-106.491684,96.360609,81.025162,345.0,SILVER CREEK 1 -- CHEHALIS 2,CHEHALIS 2,SILVER CREEK 1,96.270512,8.17834004451467
"LINESTRING (-121.7407 48.5478, -121.7407 48.5478)",445.0,152.923981,3.816179,-152.86339,-0.186663,345.0,CONCRETE 1 -- CONCRETE 1,CONCRETE 1,CONCRETE 1,152.923981,34.36493955056179
"LINESTRING (-121.7407 48.5478, -121.2086 48.6981)",1170.86,-179.061011,-0.340315,179.417488,-29.102868,345.0,CONCRETE 1 -- ROCKPORT 1,ROCKPORT 1,CONCRETE 1,179.061011,15.293118818646127
"LINESTRING (-121.7407 48.5478, -121.0679 48.7326)",1235.83,-279.983007,7.759364,281.13694,-42.6248,345.0,CONCRETE 1 -- ROCKPORT 3,ROCKPORT 3,CONCRETE 1,279.983007,22.655462887290323
"LINESTRING (-122.4056 45.5847, -122.4056 45.5847)",492.83,214.059403,-14.729238,-213.881672,25.448174,345.0,CAMAS 3 -- CAMAS 3,CAMAS 3,CAMAS 3,214.059403,43.43473469553396
"LINESTRING (-122.4056 45.5847, -122.4056 45.5847)",10000.0,-214.059403,14.729238,214.181593,-14.212931,345.0,CAMAS 3 -- CAMAS 3,CAMAS 3,CAMAS 3,214.059403,2.14059403
"LINESTRING (-122.4056 45.5847, -122.4056 45.5847)",10000.0,0.0,0.0,-0.0,-0.0,345.0,CAMAS 3 -- CAMAS 3,CAMAS 3,CAMAS 3,0.0,0.0
"LINESTRING (-122.4056 45.5847, -122.4056 45.5847)",10000.0,-0.0,-0.0,-0.0,-0.0,345.0,CAMAS 3 -- CAMAS 3,CAMAS 3,CAMAS 3,0.0,0.0
"LINESTRING (-122.4056 45.5847, -122.4056 45.5847)",10000.0,0.0,-0.0,-0.0,-0.0,345.0,CAMAS 3 -- CAMAS 3,CAMAS 3,CAMAS 3,0.0,0.0
"LINESTRING (-122.4056 45.5847, -122.5134 45.4955)",222.55,42.229835,-6.642451,-42.148113,5.256801,138.0,CAMAS 3 -- PORTLAND 42,CAMAS 3,PORTLAND 42,42.229835,18.97543698045383
"LINESTRING (-122.4056 45.5847, -122.3712 45.5671)",242.12,72.229746,0.613652,-72.131664,-0.348651,138.0,CAMAS 3 -- GRESHAM 1,CAMAS 3,GRESHAM 1,72.229746,29.832209648108375
"LINESTRING (-122.4056 45.5847, -122.5773 45.5661)",1369.2,485.74755,165.781625,-484.825321,-166.873122,345.0,CAMAS 3 -- PORTLAND 33,CAMAS 3,PORTLAND 33,485.74755,35.476741893076245
"LINESTRING (-122.4056 45.5847, -122.476 45.4829)",1198.32,209.440936,129.380888,-209.19696,-136.968968,345.0,CAMAS 3 -- PORTLAND 45,CAMAS 3,PORTLAND 45,209.440936,17.477880365845515
"LINESTRING (-122.4056 45.5847, -121.1346 45.614)",1390.95,-522.013626,-133.435795,527.629604,69.929925,345.0,CAMAS 3 -- THE DALLES 3,THE DALLES 3,CAMAS 3,522.013626,37.52928760918797
"LINESTRING (-122.4056 45.5847, -121.941 45.6441)",1305.33,-387.356453,-147.513787,389.185816,137.559919,345.0,CAMAS 3 -- CASCADE LOCKS,CASCADE LOCKS,CAMAS 3,387.356453,29.674982801283967
"LINESTRING (-118.0269 46.4211, -118.0269 46.4211)",349.08,41.490441,2.651723,-41.479205,-2.087764,345.0,DAYTON 2 -- DAYTON 2,DAYTON 2,DAYTON 2,41.490441,11.88565400481265
"LINESTRING (-118.0269 46.4211, -118.0269 46.4211)",582.49,-212.385886,-40.982256,212.510002,49.796532,345.0,DAYTON 2 -- DAYTON 2,DAYTON 2,DAYTON 2,212.385886,36.46172226132637
"LINESTRING (-118.0269 46.4211, -117.7772 46.3747)",1103.19,-63.834239,-42.177541,63.858998,22.58411,345.0,DAYTON 2 -- DAYTON 5,DAYTON 5,DAYTON 2,63.834239,5.786332272772595
"LINESTRING (-118.0269 46.4211, -118.2964 46.1518)",1221.54,234.729685,-43.552135,-234.290902,13.433911,345.0,DAYTON 2 -- WALLA WALLA 2,DAYTON 2,WALLA WALLA 2,234.729685,19.21588200140806
"LINESTRING (-118.0269 46.4211, -118.2964 46.1518)",216.62,36.079205,1.757764,-35.897588,-4.343923,138.0,DAYTON 2 -- WALLA WALLA 2,DAYTON 2,WALLA WALLA 2,36.079205,16.65552811374758
"LINESTRING (-121.2086 48.6981, -121.2086 48.6981)",387.62,107.620911,-1.343285,-107.591418,3.172196,345.0,ROCKPORT 1 -- ROCKPORT 1,ROCKPORT 1,ROCKPORT 1,107.620911,27.764540271399824
